FALSE,GenreID,ArtistID,ArtistName,TrackID,Title,ShareLink,Duration,Rank,ExplicitLyrics,ExplicitContentLyrics,ExplicitContentCover,Preview,BPM,Gain,ImageLink,danceability,track_genre
FALSE,116,60253,Ian,2200452697,cozyy,https://www.deezer.com/track/2200452697?utm_source=deezer&utm_content=track-2200452697&utm_term=0_1702975254&utm_medium=web,130,112605,FALSE,0,2,https://cdns-preview-5.dzcdn.net/stream/c-5fa590e7a0985f264f513d3f022d3bc0-4.mp3,0,-10.9,https://e-cdns-images.dzcdn.net/images/artist/aad8a9b6588a818510abcffe56a3d7d9/250x250-000000-80-0-0.jpg,0.221,alt-rock
FALSE,116,60253,Ian,1611099692,Urgențe,https://www.deezer.com/track/1611099692?utm_source=deezer&utm_content=track-1611099692&utm_term=0_1702975255&utm_medium=web,200,153798,TRUE,1,2,https://cdns-preview-2.dzcdn.net/stream/c-2f4721c52a7cc4a900a3f33b69cd5dde-2.mp3,0,-9.8,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.221,alt-rock
FALSE,116,60253,Ian,1479540912,Bag Un Blunt,https://www.deezer.com/track/1479540912?utm_source=deezer&utm_content=track-1479540912&utm_term=0_1702975255&utm_medium=web,179,142010,TRUE,1,2,https://cdns-preview-6.dzcdn.net/stream/c-68c252feb5b123238dff71f2602f297f-2.mp3,0,-10.9,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.221,alt-rock
FALSE,116,60253,Ian,1611099772,Lumea asta,https://www.deezer.com/track/1611099772?utm_source=deezer&utm_content=track-1611099772&utm_term=0_1702975256&utm_medium=web,166,111089,TRUE,1,2,https://cdns-preview-4.dzcdn.net/stream/c-4aa182f1e66f93e5a5b0852ef71bf766-2.mp3,0,-10.3,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.221,alt-rock
FALSE,116,60253,Ian,2291229065,Kankun,https://www.deezer.com/track/2291229065?utm_source=deezer&utm_content=track-2291229065&utm_term=0_1702975256&utm_medium=web,202,117235,TRUE,1,2,https://cdns-preview-6.dzcdn.net/stream/c-6c10b62c4d5513fa78249447259f51ad-2.mp3,0,-9.8,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.221,alt-rock
FALSE,116,60253,Ian,1147513722,Rocco,https://www.deezer.com/track/1147513722?utm_source=deezer&utm_content=track-1147513722&utm_term=0_1702975257&utm_medium=web,107,75343,TRUE,1,2,https://cdns-preview-6.dzcdn.net/stream/c-69172b27855cc334d63d4d6aed86e397-3.mp3,0,-8,https://e-cdns-images.dzcdn.net/images/artist/c7702a58410176b41393050117b57d08/250x250-000000-80-0-0.jpg,0.571,alt-rock
FALSE,116,60253,Ian,1347951432,Mili,https://www.deezer.com/track/1347951432?utm_source=deezer&utm_content=track-1347951432&utm_term=0_1702975257&utm_medium=web,173,153041,TRUE,1,2,https://cdns-preview-5.dzcdn.net/stream/c-542b19ce8883040de3aac9133340f47c-2.mp3,0,-10.9,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.609,alt-rock
FALSE,116,60253,Ian,1524381202,Nefiu,https://www.deezer.com/track/1524381202?utm_source=deezer&utm_content=track-1524381202&utm_term=0_1702975258&utm_medium=web,185,149193,TRUE,1,2,https://cdns-preview-1.dzcdn.net/stream/c-1f1dd070b2da7476385de7e58b9e3ea4-4.mp3,0,-11.6,https://e-cdns-images.dzcdn.net/images/artist/c61eb9aede23380ec3ea20d9d1ccd5a5/250x250-000000-80-0-0.jpg,0.32,alt-rock
FALSE,116,60253,Ian,1844388277,Gestu,https://www.deezer.com/track/1844388277?utm_source=deezer&utm_content=track-1844388277&utm_term=0_1702975258&utm_medium=web,301,148906,TRUE,1,2,https://cdns-preview-1.dzcdn.net/stream/c-14832dfb1a236cdea36bd1bbe3404986-3.mp3,0,-10.2,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.696,alt-rock
FALSE,116,60253,Ian,1862671817,Folclor,https://www.deezer.com/track/1862671817?utm_source=deezer&utm_content=track-1862671817&utm_term=0_1702975259&utm_medium=web,166,137914,FALSE,0,2,https://cdns-preview-b.dzcdn.net/stream/c-bd498dab00549d5d72004c4d5cf85b44-4.mp3,0,-11,https://e-cdns-images.dzcdn.net/images/artist/065dd7abd2451cb5dc7d35c565a9c1b6/250x250-000000-80-0-0.jpg,0.674,alt-rock
FALSE,116,60253,Ian,1479588352,Sigur Dar Incet,https://www.deezer.com/track/1479588352?utm_source=deezer&utm_content=track-1479588352&utm_term=0_1702975260&utm_medium=web,182,69576,TRUE,1,2,https://cdns-preview-b.dzcdn.net/stream/c-b0911fb70c34361ca142eb3b3aa4ed58-2.mp3,0,-10.8,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.696,alt-rock
FALSE,116,60253,Ian,2058343037,R8,https://www.deezer.com/track/2058343037?utm_source=deezer&utm_content=track-2058343037&utm_term=0_1702975260&utm_medium=web,193,109443,TRUE,1,2,https://cdns-preview-f.dzcdn.net/stream/c-fd151395804119b74babdf20736dd573-2.mp3,0,-8.8,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.56,alt-rock
FALSE,116,60253,Ian,1611099852,Piramida,https://www.deezer.com/track/1611099852?utm_source=deezer&utm_content=track-1611099852&utm_term=0_1702975261&utm_medium=web,180,145259,TRUE,1,2,https://cdns-preview-6.dzcdn.net/stream/c-684a34b887a4249d3953782e570770f9-2.mp3,0,-10.4,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.573,alt-rock
FALSE,116,60253,Ian,1611099732,Tiki Taka,https://www.deezer.com/track/1611099732?utm_source=deezer&utm_content=track-1611099732&utm_term=0_1702975261&utm_medium=web,204,115266,TRUE,1,2,https://cdns-preview-c.dzcdn.net/stream/c-c586d129daa1b080115a95c018d88584-2.mp3,0,-10.5,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.473,alt-rock
FALSE,116,60253,Ian,1347953022,Scuze Mama,https://www.deezer.com/track/1347953022?utm_source=deezer&utm_content=track-1347953022&utm_term=0_1702975262&utm_medium=web,179,115246,TRUE,1,2,https://cdns-preview-3.dzcdn.net/stream/c-3fe57f72f1090133687c4ae1e6165602-3.mp3,0,-12.3,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.666,alt-rock
FALSE,116,60253,Ian,1347957722,60 De Zile,https://www.deezer.com/track/1347957722?utm_source=deezer&utm_content=track-1347957722&utm_term=0_1702975263&utm_medium=web,176,102288,TRUE,1,2,https://cdns-preview-8.dzcdn.net/stream/c-880c46895d70bab7a7ea676f45c42825-2.mp3,0,-10.1,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.471,alt-rock
FALSE,116,60253,Ian,1347953052,Placebo,https://www.deezer.com/track/1347953052?utm_source=deezer&utm_content=track-1347953052&utm_term=0_1702975263&utm_medium=web,194,96842,TRUE,1,2,https://cdns-preview-8.dzcdn.net/stream/c-883359850f3b2dc4a7553827082138fd-3.mp3,0,-10.8,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.714,alt-rock
